M,V,T,IR
1,10,38.0,7.9
1,15,40.7,10.3
1,10,41.0,10.3
0,10,42.8,13.0
0,15,44.9,18.0
1,6,43.4,13.5
1,6,39.5,8.3
1,6,45.8,14.4
1,10,46.3,18.5
1,10,38.3,10.6
0,10,46.1,14.6
1,6,40.2,9.0
0,10,43.2,9.6
1,10,40.4,12.9
0,10,41.0,12.2
1,10,39.4,9.9
1,6,42.2,8.8
1,15,39.8,5.1
0,10,39.4,5.9
0,6,45.3,26.2
0,10,41.6,9.0
0,6,39.3,10.8
0,15,41.6,13.2
1,15,37.4,5.5
0,6,44.4,13.2
1,15,40.7,13.7
1,10,38.6,12.0
1,10,39.8,8.3
1,15,43.9,12.2
1,15,41.4,12.9
1,15,39.0,4.5
0,10,38.8,7.7
0,10,38.0,3.4
1,15,40.5,8.1
1,10,47.1,17.6
1,10,44.3,18.4
1,10,43.0,11.0
0,10,37.8,5.8
1,15,40.5,8.4
0,10,42.7,8.6
0,15,43.4,14.7
0,10,43.5,11.0
1,10,41.3,9.3
1,6,46.5,12.6
0,6,41.8,17.2
1,6,42.9,13.4
0,6,42.7,11.0
0,15,38.3,4.9
0,15,41.1,11.0
0,6,42.2,12.5
1,6,41.1,12.7
0,10,40.4,11.3
1,10,40.3,9.0
0,6,42.3,12.9
0,6,43.6,17.7
0,15,46.2,16.8
0,10,44.4,15.6
0,6,43.3,10.6
1,15,45.1,9.4
1,15,45.4,11.2
1,6,39.3,10.8
0,15,37.1,5.1
1,6,44.4,15.7
1,15,39.9,6.1
0,6,39.0,3.7
0,15,42.6,18.0
0,6,38.1,9.9
0,6,41.2,6.1
1,6,41.2,8.3
1,15,32.8,3.6
1,10,36.6,3.5
1,10,43.3,8.7
0,10,42.0,10.8
1,15,41.8,12.1
0,6,45.2,15.0
1,6,44.4,11.1
1,6,41.9,9.7
0,15,45.0,14.1
0,10,37.0,7.6
0,10,43.8,9.1
1,15,35.5,4.8
0,6,48.1,17.6
1,15,40.0,11.7
0,15,40.0,8.2
0,15,42.3,13.3
1,15,38.9,8.2
1,6,37.8,3.8
0,15,38.9,10.5
0,10,43.6,17.8
0,10,40.8,16.6
1,6,43.3,13.0
0,6,40.5,11.2
1,15,41.3,11.7
0,15,38.3,9.2
0,15,38.5,8.0
1,10,35.8,7.9
0,15,41.0,8.4
1,6,40.2,7.3
1,6,44.7,11.6
1,10,39.8,10.8
0,15,45.4,17.5
1,10,38.9,5.3
1,6,38.7,6.9
0,10,40.6,10.3
1,10,39.7,7.5
1,10,41.9,11.0
1,10,45.1,16.5
0,10,43.6,15.7
1,10,38.3,3.8
0,10,39.7,12.6
1,10,44.2,21.6
0,10,39.1,9.5
1,6,40.8,9.2
0,10,37.1,8.2
0,10,35.7,2.5
1,6,39.7,8.6
0,6,40.7,11.9
1,10,36.3,4.7
0,15,36.9,7.4
0,10,39.3,5.3
1,6,40.0,11.2
1,6,40.6,10.4
1,6,41.5,9.8
0,6,38.4,8.2
1,6,39.7,5.9
1,15,40.2,9.7
1,10,37.1,10.1
1,15,39.4,7.2
1,6,43.0,10.7
1,15,46.2,25.1
1,10,40.3,10.4
0,6,42.8,13.9
1,15,41.8,10.3
1,6,40.9,15.5
0,6,40.6,13.6
1,15,38.4,8.9
0,15,41.4,10.0
0,10,39.9,5.8
1,15,40.0,7.5
1,10,35.9,3.2
1,15,43.4,11.9
0,15,39.9,9.3
0,10,41.9,11.8
1,6,38.1,3.9
0,10,42.3,16.5
0,6,40.5,10.9
0,10,41.3,9.4
1,15,41.6,7.8
0,10,42.2,13.1
0,6,39.9,10.1
1,15,38.6,6.2
0,10,44.6,12.7
0,15,38.0,9.2
0,10,33.9,3.2
1,15,34.8,1.9
1,6,35.3,8.7
0,6,46.2,12.2
1,10,44.7,16.3
0,10,40.9,11.5
0,6,39.6,5.9
0,15,46.9,22.2
1,10,40.8,9.9
0,10,41.3,11.3
1,10,43.7,8.7
0,6,40.7,10.0
1,10,40.0,11.3
0,15,36.9,4.1
1,6,36.7,3.9
1,15,42.2,13.9
0,10,44.5,17.6
0,15,42.9,14.1
1,10,42.6,12.5
1,15,39.8,8.9
1,6,40.7,8.9
1,15,39.5,9.7
1,6,48.8,24.9
0,15,40.3,9.8
0,15,40.1,10.1
1,6,42.8,14.6
1,6,43.8,13.8
0,6,38.9,7.5
1,15,42.2,11.1
0,15,42.8,17.9
1,15,39.0,8.4
0,15,36.3,4.4
1,15,46.0,19.1
0,6,40.1,9.1
1,15,41.7,9.1
0,10,44.0,14.0
0,6,43.2,9.2
0,15,47.5,26.1
0,10,42.4,15.2
1,15,41.2,7.4
1,10,42.0,13.4
1,6,42.7,14.0
1,15,41.1,11.1
0,6,42.9,12.7
1,6,33.7,4.2
0,6,36.4,3.5
0,6,41.4,8.6
0,10,44.2,15.0
1,6,39.7,8.8
0,10,37.4,7.2
1,15,43.5,15.2
1,15,42.6,10.0
